review_id,review_text,rating
1,The product is excellent and works perfectly,5
2,"Very bad experience, totally disappointed",1
3,"Amazing quality, I am very happy with this purchase",5
4,Not worth the money,2
5,Customer service was helpful and polite,4
6,"Terrible product, stopped working in a week",1
7,"I love this item, highly recommended",5
8,Worst purchase I have ever made,1
9,The quality is decent for the price,3
10,Very satisfied with the product,5
11,Poor build quality,2
12,Excellent performance and great value,5
13,"Not satisfied, expected better",2
14,This product exceeded my expectations,5
15,Waste of money,1
16,Good quality and fast delivery,4
17,The product arrived damaged,1
18,Very happy with customer support,5
19,"The item is okay, nothing special",3
20,Extremely disappointed with this product,1
21,"Fantastic product, will buy again",5
22,Bad quality material,2
23,Loved the design and functionality,5
24,Does not work as advertised,1
25,Great experience overall,5
26,Not happy with the purchase,2
27,Highly satisfied with the quality,5
28,Very poor performance,1
29,Excellent customer service,5
30,The product broke after few uses,1
31,I am impressed with the quality,5
32,Terrible experience overall,1
33,Good value for money,4
34,Not recommended,2
35,Very pleased with this purchase,5
36,Poor packaging and late delivery,2
37,Outstanding quality,5
38,Worst service ever,1
39,Happy with the purchase,4
40,Disappointed with the results,2
41,Superb product,5
42,Low quality and bad finish,2
43,Really satisfied,5
44,Not useful at all,1
45,"Great product, easy to use",5
46,Bad experience,1
47,Excellent choice,5
48,Would not buy again,2
49,Highly recommended product,5
50,Average quality,3
